type,author,text
comment,@mawa_farm,"kebablasan, remukkk... yang jualan makanan itu marginnya gede, kok ya guampang banget kebobolan"
comment,@wadiya1469,Sudah gak percaya lagi. Harusnya negara melindungi warga negaranya sendiri. tapi untuk apa? Percuma Yang di atas lagi haus kekuasaan uang dan asal asalan. Biadab. Oleh sebab itu  kalau kita sendiri tidak memulai selektif peduli memilih hidup dengan pola hidup sehat dan halal .  siapa lagi yang akan peduli sama diri sendiri kecuali kita? Kita tidak bisa mengharapkan pemerintah  😊
comment,@badrukece6239,Korupsi label halal
comment,@marninies3713,Omon2
comment,@sriyani7783,Ini tamparan dari MUI dan BPOM deperindag harus jeli itu Uda kerjaan kalian GK jelas juga kalian ini.
comment,@sriyani7783,Seharusnya blom turun kelapangan blokir produkya yg buat halal itu di buat sansi atau diambil barangnya ini pr untuk bpom dan MUI deperindag dan pemko pun turun lapangan jgn duduk2 aja dimeja oaham
comment,@NurayaNuraya-d4v,Buat BPOM harus menguji dulu baru mengeluarkan sertifikat halal untuk makanan karna sangat merusak ummat Islam .
comment,@adisuatma1592,😢
comment,@etimulyati2255,Istigfar aja dah dizaman sekrang ini.
comment,@umyehanie7955,"Astaghfirullaahal'adziiiimmm,,,,😠😠😠😠😠"
comment,@ZulKarnain-d8w,Hati.2.ada.sentimen.agama..
comment,@ZulKarnain-d8w,Kenapa.tidak..mui.harus.tanggung.jawab..sample.hanya.1.kali..seterusnya..yg.penting.pulus..akibat.cari.makan.melalui.agama..makan.sumpah.ulama.seperti.ini.
comment,@Kambing_83,Jangan disepelekan apalagi di sederhana kan.. ini masalah umat karena kalian bertanggung jawab dengan kelayakan makanan dan produk bagi umat Islam.. hukum nya pun jangan di sederhana kan karena Allah SWT lebih tahu dan kalian akan dapat balasan kelak di akhirat
comment,@Mhd_Apip29,"Astaga permen coklat malahan gw pernah makan annnnnnnnnn ,ga terima gw tanggung jawab dunia akhirat"
comment,@Mhd_Apip29,Lahhhhhhhhhhhhhhhh giman.siiii
comment,@GilangGintang-d9x2z,"Ekskusi biang kerok mya,jgn hanya di di keluar kan produk nya..!!"
comment,@tubagusjumhurhilmana8840,"Halal & haram hanya ada di Islam,  oleh karenanya yg berhak menyatakan aesuatu halal atau haram adalah mereka yg benar benar berpengetahuan beriman beragama Islam serta organisasi yg 100% didirikan dibentuk,  dikelola dikuasai serta di biayai oleh umat Islam,  untuk kemaslahatan umat Islam."
comment,@SiswadiSiswadi-t5k,Biasalah masyarakat Konoha apapun bisa lolos yg penting :Fulus semua halal😢😢😢
comment,@IrvanArbih82,Tanggung jawab AMANAH nya sangat berat ya ALLAH...
comment,@azmee99hsm,Kalau tk .kerana JAKIM  Mlysia...pasti pak mentri nya masih TIDO di buai mimpi² manis..
comment,@Boyman_02,"Memang TIDAK MENJAMIN WALAUPUN ADA LEBEL ""HALAL"" 😊"
comment,@rorronoazoro9592,Gk bisa kerja tah pak?
comment,@VivoooMaknyusss,Salut dgn Malaysia
comment,@anggaSugiyo,😅😅😅😅😅😅😅
comment,@Srikandi75,BPOM gk becus kerjanya. Dari jaman dulu sampai sekarang kok masih saja kebobolan Bagong 😰
comment,@ridwanaja1975,Ini gara gara jokowi yang mengambil alih label halal dari MUI. Kembalikan saja label halal kepada ahlinya.
comment,@mardynagara,Sudah gak heran dan udah tau dari dulu
comment,@julieernest84,"Karna mmg yg saya liat dibbrp daerah termasuk daerah sy untuk mendapatkan sertifikat halal tidak melalui pemeriksaan. Hanya mengajukan produk melalui bbrp proses dan mendapatkan ijin tersebut dgn bersertifikat halal.
Jadi karena mudahnya ijin tersebut akhirnya dimanfaatkan oleh penjual penjual yg curang. Harusnya proses perijinan tersebut setiap produk hars melalui pemeriksaan lab pangan, jd bener bener tau produk tersebut bener bener halal atau tidak."
comment,@ahmudzahri6462,Ya harus diproses hukum jgn hy menarik edaran brgnya saja
comment,@Ipayfunzax,Sangsi nya jangan cuma ditarik dari peredaran atau peringatan akan tetapi lebih berat lagi seperti izin usahanya di cabut dan denda yg besar agar memberi efek jera.usus juga oknum yg meluluskan pruduk tersebut
comment,@AhmadhusainEmad,KATOKAN SAJO PEMBOKISAN GITULOH
comment,@MchHusnan,HALAL TAPI HARAM GANTI RUGI PENIPUAN CABUT IZIN USAHA
comment,@nanasukana3903,Usut tuntas pasti ada oknum di belakang
comment,@AbdulAziz-pk7fp,Jangan CUMAN OMON OMO N.    DOANG. ..YA WAJIB. DI UMUMKAN PRODUK MERK APA AJA.    BERITA PEPESAN KOSONG. KLO.  CUMAN BERITA ..APALAGI SANGSINYA CUMAN DITARIK. .DARI PEREDARAN.
comment,@MomoiTaroVersiLite,"Maunya BPOM  dan badan sertifikat halal umumkan kpd publik nama produk tersebut agar masyarakat Islam menghindari nya , kalau gak mau umumkan ke publik, ya untuk apa koar koar yang membuat masyarakat bosan mendengarnya."
comment,@abdurrani6858,Udah lama ya itu produk beredar. Dan siapa yg melabeli halal itu produk
comment,@Juvnahanafi,Jabatan agama di Malaysia dan di Indonesia harus berkerjasama dalam hal sebegini.
comment,@SitiHajar-w3l,"Babipun bisa di sertifikat halal apabila sudah bayar,bayar, bayar, bayar😂😂😂😂😂😂"
comment,@ImronHidayat-h6s,Publikasikn dong pk mntri mn produk brg dn mknn yg g halal it br g mmbingungkn rkyat
comment,@soeharto-ii3ug,"ITULAH INDONESIA TAK ADA YANG DAPAT DI PERCAYA, KALAU UANG 💸💸💸 SUDAH BERBICARA YA SEMUA BISA DI BELI"
comment,@abdulajis210,Perusahaan tindak Dan harus dihukum kisos
comment,@brotherkanereacts1391,"Kemarin Menterinya bilang ktika dintrview,  Halal 🇮🇩 itu No 1 dunia.."
comment,@DidiMasalun,Sebutkan dong nama produknya dan produsen pembuatnya. Biarkan masyarakat tahu dan ikut mengawasi serta tidak mau membeli produk tsb.
comment,@mustafabinsamsudin8298,Pak Probowo..ini org ditukarkan atau diberhentikan aja..Jika pihak negara tertangga tidak hebohkan mana mungkin pihak mereka tahu produk nya tidak halal.
comment,@Yularnis02,"Tolong, dibrantas, pak, mentri, merusak, anaknya"
comment,@zulkafliabdrahman8665,Konoha tidak boleh membedakan antara yg halal dgn yg haram... Pasangan yang berkahwin pun boleh beda agama... Pihak berwajib agama tidak punya sertifikat dlm pengurusan agama...
comment,@ehmega9990,TARIK NABATI SERTA MEE SEDAP. YG BOLEH DIPERTIKAI JUGAK..
comment,@amaladja5329,Yg gak halal di tok halal berarti yg ngetok menanggung dosa2 orang banyak
comment,@budiyono9189,"AKIBAT KERJA BPOM.HANYA DI MEJA KANTOR ,MEREKA TDK KERJA LAPANGAN YG PENTING DAPAT UANG SUAP"
comment,@hidayatmuis8230,Tutup pabriknya
comment,@tomihidayat11032,"Jadi pejabat harus tegas berpihak pada kebenaran dan rakyat 
Kejadian ini berulang kali terjadi masa cuma  penarikan barang yg beredar doang......ingat tanggung jawabmu di akherat"
comment,@tomihidayat11032,"Pemerintah harus ambil tindakan tegas terhadap perusahaan yg melanggar aturan yg menipu umat islam.....harusnya pemerintah menutup perusahaan tsb atau denda dgn milyaran rupiah dan penjarakan pemilik atau oknum yg sengaja mencampuri barang halal dgn yg haram.
Jangan hanya menarik dari peredaran ringan amat sangsinya mana mungkin ada efek jera trhadap pelaku"
comment,@MasWartono-u4m,Jangan hanya diperingatkan langsung sanksi cabut ijin kalau TDK mematuhi aturan yg berlaku
comment,@anwarsanusi7313,Beginilah kalau melepas MUI dan beralih sertikat halal  kementeian Agama pengawasan n penelitiannya melalui lab makanan jng hanya di atas meja..setelah beredar makanan tsb.juga wajib di sidak di lapangan.ambil sample nya kemudian di lab oleh badan pom yg tak mudah di suap personelnya..hati2lah bertugas klian tanggung jawab dunia akhirat
comment,@SyaidAriyanto,Petugas peruduk halal harus bertanggung jawab dn harus di selidiki
comment,@barryzeneca8651,Halal dan haram .. sama saja di Konoha 😂😂😂😂
comment,@ramaraga2383,URUSAN DUIT JANGANKAN SERTIFIKAT HALAL... AGAMA'NYA AJA BISA DI JUAL.
comment,@JAJALGAWESJP,babibu
comment,@erfanhaziqirshad8305,Bila penjaga zoo terkejut ada binatang dalam zoo😂😂😂
comment,@DollahAhmad-f7y,Heran....sbuah negara yg mmpunyai org Islam paling ramai tlh kluarkn produk xhalal...yg paling sedih kami di Malaysia jgk turut terbabit...amat memalukn...
comment,@2000mrhir,Hadeeeh depag2...
comment,@MuhdarSepudi,kami memohon kpd pemerintah orang yg meloloskan hrs d beri pelajaran yg setimpal dg perbuatannya krn islam agama bersih dan suci
comment,@tgkarmiahusen6913,"tangkap segra cobloskan ke penjara sampai busuk,karena penipu label halal pada hal isinya haram.ummat islam marah karena menghina orang islam dengan prodak haram."
comment,@InnaraAkifah,Allah maha tau siapa yg dzolim akan menerima akibat
comment,@paksubroto870,"Sebetulnya merknya di umumkan
Biar masarakat luas tau apa saja barangnya"
